time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
11,0.0,0.0,460.33333328333333,0.9316666645000001,7.8591666665833335,80.0,7.736666662416667,0.0,0.0,72.74166668916666,28.86666667,414.03333312499996,0.0,1.4999999949166665,0.6666666630916667,0.0,0.0,0.0016385393333333334,0.0,0.0,2.1583333336666666,2.1600000006666664,0.0,,0.0,,0.0,,0.0,,5.593333333333334,0.0,0.0,80.0,80.0,0.0,0.0,27.0,27.0,0.0,0.0,32.0,32.0,32.0,7.1666666499166665,28.916666663333334,29.0,1.8333333360916668,1.6666666638333334
12,0.0,0.0,435.1538460153846,1.5899999979230768,7.862307692461538,79.92307692076923,10.786153843076923,2.361538382307692,10.015384376923077,61.58461538923076,28.784615379999998,528.9499520615384,0.0,7.753846198076923,3.792307713461539,0.0,0.0,0.001769842846153846,0.0,0.0,1.6769230763846155,1.7307692301538462,0.0,,0.0,,0.0,,0.0,,5.5838461537692305,0.0,0.0,79.92307692076923,79.92307692076923,5.384615204615385,2.6923076023076926,27.0,27.0,5.384615204615385,2.6923076023076926,32.0,32.0,32.0,12.230769214615385,22.076923076923077,22.153846153846153,9.76923081476923,7.923076969384615
13,0.0,0.0,411.99999996363636,2.269090908,7.7699999998181815,80.0,13.039090913636363,0.0,0.0,58.23636361363637,30.57272727090909,622.3272727090908,0.0,45.14545452454546,22.372727261818184,0.0,0.0,0.0018165927272727272,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.581818181818182,0.0,0.0,80.0,80.0,0.0,0.0,27.0,27.0,0.0,0.0,32.0,32.0,32.0,17.454545446363635,24.727272727272727,24.727272727272727,46.272727227272725,45.545454524545455
14,0.0,0.0,403.99999992500005,2.7841666666666662,7.7475,80.0,15.059999992499998,0.0,0.0,55.483333350833334,32.0249999975,678.333333275,0.0,57.09999991083333,28.349999955,0.0,0.0,0.0018258600000000001,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.5575,0.0,0.0,80.0,80.0,0.0,0.0,27.366666665833336,27.3583333325,0.0,0.0,32.0,32.0,32.0,21.416666666666668,564.58332975,456.6666666666667,57.49999991083333,57.49999991083333
15,0.0,0.0,411.0769231307692,2.86,7.709999999923077,80.0,19.37538461230769,0.0,0.0,45.89230769153846,33.12307692,705.6615385076923,0.0,86.36923075384615,42.638461507692305,0.0,0.0,0.0017980612307692307,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.529230769307692,0.0,0.0,80.0,80.0,0.0,0.0,27.99230769230769,27.99230769230769,0.0,0.0,32.0,32.0,32.0,22.0,1320.0,1320.0,86.76923075384616,86.76923075384616
16,0.0,0.0,412.81818185454546,2.86,7.6500000001818185,80.0,22.272727257272727,0.0,0.0,40.272727313636366,33.90000000090909,689.2363637454546,0.0,89.34545454636363,44.6,0.0,0.0,0.0017068254545454546,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.511818181818182,0.0,0.0,80.0,80.0,0.0,0.0,28.0,28.0,0.0,0.0,32.0,32.0,32.0,22.0,1320.0,1320.0,89.36363636636364,89.36363636636364
17,0.0,0.0,414.3333333083333,2.86,7.592500000083334,80.0,24.468333331666667,0.0,0.0,36.12499999916667,34.4083333325,644.7666667416667,0.0,91.28333328000001,48.02499995083334,0.0,0.0,0.00161889025,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.505,0.0,0.0,80.0,80.0,0.0,0.0,28.0,28.0,0.0,0.0,32.0,32.0,32.0,22.0,1320.0,1320.0,92.25000000583333,91.33333327416666
18,0.0,0.0,417.38461525384616,2.86,7.596153845999999,80.0,24.80230768846154,0.0,0.0,34.86923078230769,34.299999999230764,566.0615387384615,0.0,88.75384617846154,45.70769233846154,0.0,0.0,0.0015101993846153847,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.495384615384615,0.0,0.0,80.0,80.0,0.0,0.0,28.0,28.0,0.0,0.0,32.0,32.0,32.0,22.0,1320.0,1320.0,88.69230771846154,88.69230771846154
19,0.0,0.0,422.0909090545454,2.86,7.617272727363636,80.0,22.90545455181818,0.0,0.0,35.154545456363635,32.85454546090909,439.20000042727276,0.0,85.2909090909091,42.74545454545455,,0.0,0.0013269272727272727,300.0,0.0,2.2,1.5,0.0,,0.0,,0.0,,0.0,,5.490909090818182,,0.0,,80.0,,0.0,10.0,28.0,,0.0,,32.0,32.0,22.0,,1320.0,,85.0909090909091
20,0.0,0.0,434.4166665833333,2.86,7.676666666416666,73.31666674,19.301666673333333,0.0,0.0,35.833333339166664,29.841666675,343.67935430000006,0.0,91.73333335083333,81.01666662416666,,0.0,0.0011029505833333334,300.0,275.0,2.2,2.141666666666667,833.3333333333334,,0.0,,833.3333333333334,,833.3333333333334,,5.5,,0.0,,40.00000044666667,,0.0,10.0,11.5,,0.0,18.0,19.166666666666668,19.166666666666668,22.0,,1200.0000013333333,0.6666666778333333,7.74999999975
21,0.0,0.0,453.38461541538464,2.86,7.763846153384615,0.0,14.283076933076924,0.0,0.0,37.815384602307695,24.92307693307692,257.1538462846154,0.0,98.12307692307694,96.90769230769232,,0.0,0.0009536676923076922,300.0,300.0,2.2,2.2,1000.0,,0.0,,1000.0,,1000.0,,5.529999999846154,,0.0,,0.0,,0.0,10.0,10.0,,0.0,18.0,18.0,18.0,22.0,,1080.0,0.0,0.0
22,0.0,0.0,467.36363625454544,2.86,7.81909090890909,0.0,11.234545460454544,0.0,0.0,43.42727271454545,22.381818186363635,111.81818197272727,0.0,99.2,98.8090908790909,,0.0,0.00086544,300.0,300.0,2.2,2.2,1000.0,,0.0,,1000.0,,1000.0,,5.561818181727272,,0.0,,0.0,,0.0,10.0,10.0,,0.0,18.0,18.0,18.0,22.0,,1080.0,0.0,0.0
23,0.0,0.0,473.9166665833333,2.86,7.887499999999999,0.0,7.255833338833334,0.0,0.0,58.44999997916667,20.116666670833336,22.45833341466667,0.0,87.25000007,63.58333341083334,,0.0,0.0006912904166666667,300.0,300.0,2.2,2.2,1000.0,,0.0,,1000.0,,1000.0,,5.594999999916666,,0.0,,0.0,,0.0,10.0,10.0,,0.0,18.0,18.0,18.0,22.0,,1080.0,0.0,0.0
24,0.0,0.0,481.46153855384614,2.86,7.897307692153846,0.0,5.021538465538462,0.0,0.0,68.5730769,18.676923079230768,0.4615384641230769,0.0,36.31538466923077,22.926923154615388,0.0,0.0,0.00043559923076923077,300.0,300.0,2.2,2.2,1000.0,,0.0,,1000.0,,1000.0,,5.623846153769231,0.0,0.0,,0.0,0.0,0.0,10.0,10.0,0.0,0.0,18.0,18.0,18.0,22.0,1080.0,1080.0,0.0,0.0
